,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
0,2,09/01/2005,2005,1, South Carolina, UCF,24,15, South Carolina,9,-2,-11,-7,0,3.0,-9.0,72.0,0.0,-16.0,-13.0,-51.0,-660.0,-1.0,-1.0,-16.0
1,3,09/01/2005,2005,1, Cincinnati, Eastern Michigan,28,26, Cincinnati,2,8,0,3,-1,1.0,-5.0,9.0,-2.0,-6.0,24.0,144.0,650.0,-1.0,0.0,-7.0
2,4,09/01/2005,2005,1, Washington State, Idaho,38,26, Washington State,12,0,-2,0,1,0.0,-2.0,50.0,2.0,49.0,-6.0,120.0,-560.0,1.0,2.0,-3.0
3,5,09/01/2005,2005,1, Tulsa, Minnesota,10,41, Minnesota,-31,-4,7,3,1,2.0,13.0,-17.0,0.0,5.0,-9.0,-166.0,386.0,0.0,0.0,16.0
4,7,09/01/2005,2005,1, Houston, Oregon,24,38, Oregon,-14,1,1,-2,2,0.0,-6.0,-36.0,0.0,1.0,-10.0,-106.0,-388.0,4.0,1.0,-6.0
5,10,09/01/2005,2005,1, Toledo, Western Illinois,62,14, Toledo,48,7,0,2,0,-2.0,-2.0,-48.0,6.0,47.0,-4.0,146.0,-244.0,-2.0,-3.0,-3.0
6,11,09/01/2005,2005,1, Marshall, William & Mary,36,24, Marshall,12,-5,-2,-3,0,-1.0,8.0,109.0,-3.0,-13.0,-7.0,-52.0,-36.0,0.0,0.0,5.0
7,14,09/03/2005,2005,1, Tennessee, UAB,17,10, Tennessee,7,6,2,4,0,-1.0,-5.0,-8.0,-4.0,5.0,12.0,85.0,34.0,0.0,2.0,0.0
8,18,09/03/2005,2005,1, BYU, Boston College,3,20, Boston College,-17,-7,4,-2,0,-1.0,14.0,98.0,4.0,28.0,-15.0,-125.0,118.0,2.0,0.0,25.0
9,19,09/03/2005,2005,1, Wisconsin, Bowling Green,56,42, Wisconsin,14,16,-5,-1,0,0.0,-22.0,-342.0,6.0,44.0,34.0,315.0,398.0,0.0,0.0,-42.0
10,20,09/03/2005,2005,1, Troy, Cal Poly,27,10, Troy,17,3,7,8,0,0.0,4.0,145.0,0.0,15.0,7.0,-6.0,220.0,-2.0,0.0,15.0
11,22,09/03/2005,2005,1, San Diego State, UCLA,21,44, UCLA,-23,2,7,5,0,0.0,12.0,88.0,-2.0,-24.0,11.0,-35.0,378.0,1.0,2.0,17.0
12,23,09/03/2005,2005,1, Colorado, Colorado State,31,28, Colorado,3,0,-6,-4,0,2.0,-6.0,-8.0,0.0,14.0,-5.0,18.0,-296.0,-1.0,-3.0,-10.0
13,29,09/03/2005,2005,1, Iowa State, Illinois State,32,21, Iowa State,11,3,-1,1,0,2.0,20.0,92.0,-1.0,-5.0,7.0,3.0,548.0,-2.0,-2.0,16.0
14,30,09/03/2005,2005,1, Michigan State, Kent State,49,14, Michigan State,35,16,-7,1,-1,2.0,-5.0,30.0,2.0,21.0,40.0,340.0,458.0,-1.0,0.0,-20.0
15,32,09/03/2005,2005,1, Navy, Maryland,20,23, Maryland,-3,-4,5,4,1,0.0,-14.0,-120.0,6.0,31.0,9.0,36.0,34.0,3.0,-1.0,-18.0
16,33,09/03/2005,2005,1, Ohio State, Miami (Ohio),34,14, Ohio State,20,7,-7,-3,1,0.0,-2.0,-28.0,-2.0,0.0,6.0,112.0,4.0,0.0,0.0,-14.0
17,34,09/03/2005,2005,1, Alabama, Middle Tennessee,26,7, Alabama,19,6,-1,1,0,-1.0,4.0,89.0,-1.0,-20.0,12.0,99.0,372.0,1.0,1.0,5.0
18,36,09/03/2005,2005,1, Oklahoma State, Montana State,15,10, Oklahoma State,5,7,-2,-1,-1,0.0,-11.0,-71.0,2.0,24.0,13.0,195.0,-126.0,-1.0,0.0,-11.0
19,42,09/03/2005,2005,1, Illinois, Rutgers,33,30, Illinois,3,5,-3,0,1,1.0,-3.0,-109.0,-1.0,-36.0,21.0,29.0,110.0,1.0,2.0,-10.0
20,43,09/03/2005,2005,1, Penn State, South Florida,23,13, Penn State,10,7,-10,-4,-1,1.0,-12.0,-110.0,-2.0,-30.0,3.0,167.0,-246.0,-1.0,0.0,-24.0
21,49,09/03/2005,2005,1, New Mexico State, UTEP,17,34, UTEP,-17,-1,5,3,2,0.0,21.0,143.0,-1.0,-34.0,-11.0,-114.0,223.0,4.0,3.0,29.0
22,54,09/04/2005,2005,1, North Carolina State, Virginia Tech,16,20, Virginia Tech,-4,-3,-1,2,-1,1.0,17.0,203.0,6.0,65.0,-12.0,3.0,68.0,-1.0,2.0,23.0
23,55,09/04/2005,2005,1, Syracuse, West Virginia,7,15, West Virginia,-8,-5,1,-1,-2,-4.0,-2.0,-82.0,4.0,6.0,-19.0,-154.0,-470.0,-1.0,1.0,4.0
24,56,09/05/2005,2005,1, Florida State, Miami (Florida),10,7, Florida State,3,-2,-2,-2,0,0.0,-8.0,-158.0,0.0,-5.0,-11.0,15.0,-816.0,0.0,-1.0,-2.0
25,59,09/08/2005,2005,1, Florida Atlantic, Oklahoma State,3,23, Oklahoma State,-20,-2,-4,-3,0,3.0,-4.0,-7.0,0.0,-11.0,-8.0,-65.0,-258.0,1.0,0.0,-6.0
26,60,09/09/2005,2005,1, Ohio, Pittsburgh,16,10, Ohio,6,-1,-2,-2,0,0.0,1.0,-6.0,-5.0,-38.0,-6.0,-54.0,118.0,-1.0,-3.0,-2.0
27,61,09/09/2005,2005,1, Nevada, Washington State,21,55, Washington State,-34,-5,4,0,0,-1.0,4.0,-30.0,-3.0,-2.0,-8.0,-122.0,-44.0,0.0,1.0,10.0
28,62,09/10/2005,2005,1, Purdue, Akron,49,24, Purdue,25,8,5,9,0,-1.0,-3.0,-95.0,5.0,37.0,29.0,188.0,734.0,-2.0,0.0,-10.0
29,63,09/10/2005,2005,1, Troy, UAB,7,27, UAB,-20,-6,-4,-2,-1,0.0,-13.0,-132.0,-7.0,-55.0,-19.0,-138.0,-1154.0,-2.0,4.0,-12.0
30,64,09/10/2005,2005,1, Kansas, Appalachian State,36,8, Kansas,28,3,-5,-2,1,-1.0,-3.0,50.0,0.0,19.0,5.0,74.0,-210.0,0.0,1.0,-6.0
31,69,09/10/2005,2005,1, Miami (Ohio), Central Michigan,37,38, Central Michigan,-1,-2,-1,-3,0,-1.0,2.0,41.0,-6.0,-50.0,-5.0,-86.0,240.0,-1.0,-1.0,11.0
32,70,09/10/2005,2005,1, Penn State, Cincinnati,42,24, Penn State,18,3,-10,-3,0,0.0,-14.0,-84.0,-3.0,-10.0,3.0,117.0,-616.0,-2.0,-1.0,-27.0
33,72,09/10/2005,2005,1, Maryland, Clemson,24,28, Clemson,-4,-3,-1,-1,2,1.0,0.0,110.0,4.0,61.0,-2.0,-58.0,52.0,2.0,1.0,6.0
