,game_id,year,week,day,away_team,home_team,stadium,temperature,humidity,wind_speed,wind_direction,conditions,surface,over_or_under,visitor_point_spread,away_score,home_score,winner,score_diff,1QP_diff,2QP_diff,3QP_diff,4QP_diff,RFD_diff,PFD_diff,IFD_diff,RY_diff,RA_diff,PY_diff,PA_diff,PC_diff,SK_diff,INT_diff,FUM_diff,PU_diff,GPY_diff,PR_diff,PRY_diff,KR_diff,KRY_diff,IR_diff,IRY_diff,PEN_diff,TOP_diff,TD_diff,TDR_diff,TDP_diff,TDT_diff,FGM_diff,FGAT_diff,FGY_diff,RZA_diff,RZC_diff,BRY_diff,BPY_diff,SRP_diff,S1RP_diff,S2RP_diff,S3RP_diff,SPP_diff,S1PP_diff,S2PP_diff,S3PP_diff,LEA_diff,LEY_diff,LTA_diff,LTY_diff,LGA_diff,LGY_diff,MDA_diff,MDY_diff,RGA_diff,RGY_diff,RTA_diff,RTY_diff,REA_diff,REY_diff,R1A_diff,R1Y_diff,R2A_diff,R2Y_diff,R3A_diff,R3Y_diff,QBA_diff,QBY_diff,SLA_diff,SLY_diff,SMA_diff,SMY_diff,SRA_diff,SRY_diff,DLA_diff,DLY_diff,DMA_diff,DMY_diff,DRA_diff,DRY_diff,WR1A_diff,WR1Y_diff,WR3A_diff,WR3Y_diff,TEA_diff,TEY_diff,RBA_diff,RBY_diff,SGA_diff,SGY_diff,P1A_diff,P1Y_diff,P2A_diff,P2Y_diff,P3A_diff,P3Y_diff,SPC_diff,MPC_diff,LPC_diff,Q1RA_diff,Q1RY_diff,Q1PA_diff,Q1PY_diff,LCRA_diff,LCRY_diff,LCPA_diff,LCPY_diff,RZRA_diff,RZRY_diff,RZPA_diff,RZPY_diff,SKY_diff,LBS_diff,DBS_diff,SFPY_diff,DRV_diff,NPY_diff,TB_diff,I20_diff,RTD_diff,LNR_diff,LNP_diff,LBR_diff,LBP_diff,DBR_diff,DBP_diff,NHA_diff,S3A_diff,S3C_diff,L3A_diff,L3C_diff,STF_diff,DP_diff,FSP_diff,OHP_diff,PBEP_diff,DLP_diff,DSP_diff,DMP_diff,PFN_diff
0,5,2000,1,SUN,IND,KC,Arrowhead Stadium,90.0,50.0,8.0,E,Mostly Sunny,Grass,44.0,-3.0,27,14,IND,-13,0.0,0.0,0.0,-13.0,-3.0,-2.0,2.0,-45.0,-8.0,-61.0,5.0,-6.0,0.0,0.0,-1.0,4.0,150.0,-2.0,-62.0,3.0,78.0,0.0,-24.0,-28.0,-6.0,-1.0,-1.0,1.0,-1.0,-2.0,-2.0,-63.0,0.0,0.0,-24.0,-56.0,-7.0,-5.0,-1.0,-1.0,-5.0,-2.0,-3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,-4.0,7.0,0.0,0.0,-1.0,-2.0,-4.0,-53.0,-7.0,-30.0,-2.0,11.0,1.0,-26.0,-3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-91.0,4.0,23.0,3.0,6.0,-1.0,1.0,-2.0,-36.0,3.0,-27.0,0.0,-25.0,2.0,-9.0,-4.0,1.0,-3.0,-1.0,-13.0,-3.0,-103.0,0.0,4.0,0.0,-1.0,-7.0,-6.0,1.0,3.0,0.0,0.0,0.0,-56.0,0.0,88.0,0.0,2.0,0.0,2.0,1.5,5.0,-1.0,-10.0,-7.5,0.0,-3.0,-3.0,5.0,2.0,-3.0,-7.0,-2.0,0.0,-1.0,3.0,-2.0,1.0,0.0
1,6,2000,1,SUN,SEA,MIA,Pro Player Stadium,89.0,59.0,13.0,E,Sunny,Grass,36.0,3.0,0,23,MIA,23,10.0,13.0,0.0,0.0,8.0,0.0,0.0,110.0,22.0,55.0,0.0,5.0,-2.0,-4.0,-1.0,1.0,33.0,1.0,-28.0,-5.0,-82.0,4.0,50.0,26.0,17.0,2.0,1.0,1.0,0.0,3.0,2.0,103.0,0.0,0.0,27.0,20.0,18.0,11.0,6.0,1.0,3.0,-1.0,3.0,1.0,0.0,8.0,2.0,-3.0,1.0,0.0,10.0,57.0,3.0,46.0,3.0,-9.0,3.0,18.0,11.0,116.0,7.0,-1.0,4.0,2.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,-1.0,22.0,0.0,-2.0,-4.0,-1.0,10.0,46.0,-2.0,-13.0,3.0,41.0,-3.0,27.0,4.0,-2.0,3.0,8.0,31.0,4.0,45.0,0.0,0.0,0.0,0.0,7.0,29.0,4.0,21.0,-5.0,0.5,0.0,395.0,1.0,-35.0,2.0,3.0,0.0,9.0,1.0,6.0,1.5,6.0,2.5,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,-1.0,1.0,0.0,1.0
2,7,2000,1,SUN,CHI,MIN,Metrodome,65.0,76.0,0.0,\N,Dome,AstroTurf,47.0,4.5,27,30,MIN,3,-1.0,-3.0,0.0,7.0,1.0,-8.0,1.0,33.0,5.0,-84.0,-18.0,-14.0,-1.0,1.0,-1.0,-2.0,-47.0,-1.0,-12.0,-2.0,-51.0,-1.0,-2.0,-25.0,-5.0,0.0,2.0,-2.0,0.0,1.0,1.0,40.0,0.0,0.0,80.0,36.0,-2.0,-1.0,0.0,-1.0,-7.0,-2.0,-3.0,-2.0,2.0,35.0,1.0,32.0,-1.0,-4.0,4.0,-40.0,-4.0,-50.0,1.0,14.0,2.0,27.0,2.0,38.0,3.0,-8.0,0.0,-16.0,13.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-38.0,-10.0,-75.0,1.0,4.0,2.0,3.0,-23.0,-183.0,-8.0,-21.0,-9.0,0.0,-2.0,-69.0,-5.0,-6.0,-3.0,2.0,19.0,-3.0,-24.0,8.0,48.0,2.0,61.0,1.0,-1.0,-2.0,-26.0,-16.0,-1.0,0.0,51.0,1.0,-59.0,0.0,-2.0,0.0,1.5,-2.5,-2.5,-3.5,-1.0,-5.0,0.0,1.0,1.0,-6.0,-6.0,8.0,0.0,2.0,0.0,-3.0,0.0,0.0,-1.0,0.0
3,8,2000,1,SUN,TB,NE,Foxboro Stadium,71.0,93.0,5.0,VAR,Cloudy,Grass,35.5,-3.0,21,16,TB,-5,3.0,-7.0,-7.0,6.0,-6.0,3.0,0.0,-52.0,-17.0,34.0,13.0,14.0,5.0,0.0,0.0,-1.0,-38.0,1.0,105.0,0.0,-3.0,0.0,0.0,8.0,-3.0,-1.0,-2.0,0.0,0.0,1.0,2.0,30.0,0.0,0.0,13.0,-49.0,-16.0,-9.0,-6.0,-1.0,7.0,3.0,4.0,0.0,1.0,-2.0,-3.0,19.0,-1.0,1.0,-8.0,-56.0,-3.0,-5.0,-1.0,-11.0,-2.0,-2.0,-11.0,-45.0,-7.0,-20.0,1.0,9.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,-3.0,-16.0,3.0,13.0,10.0,52.0,2.0,20.0,9.0,28.0,7.0,65.0,2.0,-55.0,8.0,8.0,-2.0,1.0,36.0,2.0,-39.0,-2.0,-3.0,8.0,34.0,-4.0,-16.0,0.0,-14.0,15.0,1.0,1.0,86.0,1.0,67.0,0.0,4.0,0.0,-7.0,0.0,-9.0,10.5,2.0,0.5,0.0,-3.0,-2.0,0.0,-2.0,1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,2.0,0.0
4,10,2000,1,SUN,ARI,NYG,Giants Stadium,80.0,79.0,3.0,VAR,Partly Cloudy,Grass,40.0,7.0,16,21,NYG,5,7.0,7.0,-3.0,-6.0,8.0,-6.0,-1.0,180.0,21.0,-140.0,-22.0,-11.0,-1.0,-2.0,0.0,1.0,45.0,1.0,1.0,-2.0,-106.0,2.0,31.0,63.0,3.0,1.0,3.0,-2.0,0.0,-1.0,-1.0,-32.0,0.0,0.0,125.0,-83.0,16.0,6.0,8.0,2.0,-10.0,-6.0,-3.0,-1.0,-2.0,-19.0,1.0,0.0,-1.0,17.0,4.0,14.0,9.0,82.0,9.0,30.0,1.0,9.0,9.0,66.0,10.0,47.0,2.0,20.0,1.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-122.0,1.0,-8.0,0.0,10.0,-3.0,-26.0,-25.0,-162.0,-9.0,-65.0,-9.0,-53.0,-5.0,-22.0,-3.0,-3.0,-5.0,5.0,34.0,1.0,45.0,1.0,-1.0,0.0,0.0,5.0,40.0,-4.0,-16.0,-6.0,-1.0,0.0,-138.0,-1.0,46.0,0.0,1.0,0.0,3.0,0.0,7.5,-2.0,5.5,-8.0,0.0,0.0,1.0,-2.0,-1.0,4.0,0.0,0.0,1.0,3.0,-2.0,2.0,2.0,-1.0
5,11,2000,1,SUN,SD,OAK,Network Associates Coliseum,64.0,49.0,10.0,W,Partly Cloudy,Grass,39.5,7.0,6,9,OAK,3,0.0,0.0,2.0,1.0,-2.0,-2.0,0.0,-9.0,-3.0,-13.0,-7.0,1.0,2.0,-3.0,-1.0,3.0,78.0,1.0,5.0,2.0,39.0,3.0,41.0,25.0,3.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-11.0,-28.0,-1.0,-2.0,1.0,0.0,-1.0,3.0,1.0,-5.0,-2.0,-19.0,-2.0,-4.0,1.0,10.0,3.0,0.0,-3.0,7.0,-1.0,-10.0,1.0,10.0,-4.0,-19.0,-1.0,12.0,2.0,1.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-61.0,2.0,49.0,-7.0,-33.0,5.0,24.0,-20.0,-64.0,1.0,34.0,-1.0,21.0,-4.0,-62.0,2.0,0.0,-1.0,-4.0,-11.0,-5.0,-38.0,0.0,-5.0,-6.0,-16.0,-4.0,-8.0,-1.0,16.0,-8.0,2.0,1.0,247.0,1.0,83.0,0.0,3.0,0.0,-2.0,-0.5,-4.5,0.5,0.5,0.0,0.0,0.0,0.0,-2.0,-4.0,-4.0,2.0,3.0,1.0,-1.0,1.0,0.0,0.0,0.0
6,12,2000,1,SUN,BAL,PIT,Three Rivers Stadium,74.0,84.0,8.0,NW,Partly Sunny,AstroTurf,37.0,-3.0,16,0,BAL,-16,-10.0,-3.0,-3.0,0.0,-7.0,0.0,1.0,-110.0,-18.0,-3.0,8.0,-1.0,0.0,0.0,1.0,-1.0,25.0,-5.0,-50.0,1.0,10.0,0.0,0.0,-27.0,-10.0,-1.0,0.0,-1.0,0.0,-3.0,-2.0,-82.0,0.0,0.0,-17.0,2.0,-13.0,-4.0,-7.0,-2.0,1.0,0.0,1.0,0.0,2.0,9.0,-10.0,-32.0,0.0,0.0,-8.0,-55.0,0.0,0.0,-3.0,-23.0,1.0,-9.0,-10.0,-44.0,-5.0,-55.0,-3.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-18.0,4.0,19.0,0.0,22.0,0.0,-23.0,22.0,142.0,6.0,-18.0,0.0,-7.0,2.0,22.0,-3.0,1.0,1.0,-4.0,-23.0,-3.0,-84.0,0.0,0.0,0.0,0.0,-1.0,-11.0,-2.0,-7.0,3.0,-1.0,0.0,-212.0,0.0,-6.0,-1.0,-4.0,0.0,1.0,1.5,-11.5,-1.5,-7.5,0.0,0.0,-2.0,-2.0,-2.0,2.0,0.0,0.0,0.0,0.0,-2.0,-1.0,1.0,0.0,-1.0
7,17,2000,2,SUN,GB,BUF,Ralph Wilson Stadium,81.0,62.0,8.0,WSW,Clear,AstroTurf,39.5,6.5,18,27,BUF,9,0.0,10.0,0.0,-1.0,4.0,2.0,0.0,50.0,17.0,-14.0,-9.0,-7.0,1.0,1.0,-3.0,0.0,-40.0,2.0,-2.0,0.0,-11.0,-1.0,-3.0,21.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,41.0,0.0,0.0,27.0,62.0,5.0,3.0,1.0,1.0,-2.0,1.0,-4.0,1.0,-1.0,2.0,5.0,9.0,0.0,-3.0,7.0,23.0,3.0,-5.0,1.0,17.0,3.0,7.0,9.0,7.0,8.0,24.0,1.0,19.0,4.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,81.0,-6.0,-88.0,-2.0,46.0,-6.0,-49.0,10.0,32.0,-3.0,74.0,-5.0,-70.0,0.0,-18.0,-6.0,1.0,-2.0,0.0,-8.0,5.0,47.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,9.0,4.0,2.0,2.0,289.0,2.0,-81.0,2.0,-1.0,0.0,5.0,1.0,0.0,-4.5,10.0,-3.5,0.0,-4.0,-2.0,6.0,3.0,8.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
8,21,2000,2,SUN,OAK,IND,RCA Dome,72.0,44.5,0.0,\N,Dome,AstroTurf,44.0,6.5,38,31,OAK,-7,14.0,3.0,-24.0,0.0,-4.0,9.0,2.0,-44.0,-15.0,144.0,26.0,18.0,2.0,2.0,1.0,-1.0,-43.0,1.0,-8.0,0.0,3.0,-2.0,-25.0,6.0,-2.0,-1.0,-4.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,-35.0,-2.0,-6.0,-2.0,0.0,-4.0,13.0,5.0,5.0,3.0,-5.0,-35.0,-4.0,9.0,0.0,0.0,-7.0,-39.0,-3.0,-6.0,0.0,7.0,4.0,20.0,-6.0,-24.0,-2.0,5.0,-7.0,-25.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,126.0,1.0,-31.0,7.0,70.0,3.0,-3.0,16.0,146.0,13.0,18.0,8.0,89.0,7.0,39.0,7.0,10.0,1.0,5.0,48.0,4.0,60.0,-12.0,-32.0,4.0,-2.0,-12.0,-41.0,-1.0,6.0,16.0,0.0,0.0,-110.0,0.0,-51.0,0.0,0.0,0.0,-9.5,2.5,-1.0,6.0,-0.5,6.5,0.0,-4.0,-2.0,2.0,1.0,-6.0,0.0,4.0,2.0,0.0,-1.0,1.0,-3.0,0.0
9,22,2000,2,SUN,MIA,MIN,Metrodome,65.0,59.25,0.0,\N,Dome,AstroTurf,41.0,3.0,7,13,MIN,6,3.0,0.0,0.0,3.0,5.0,8.0,1.0,76.0,12.0,183.0,6.0,11.0,0.0,2.0,1.0,-5.0,-215.0,2.0,2.0,-2.0,-48.0,-2.0,-15.0,20.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,77.0,0.0,0.0,68.0,138.0,7.0,6.0,0.0,1.0,8.0,2.0,5.0,1.0,0.0,15.0,-2.0,-3.0,8.0,31.0,7.0,34.0,2.0,3.0,-1.0,9.0,-2.0,-15.0,9.0,86.0,4.0,-1.0,-1.0,-11.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,112.0,-7.0,15.0,5.0,57.0,-2.0,-3.0,12.0,155.0,5.0,63.0,2.0,70.0,-1.0,63.0,0.0,8.0,4.0,1.0,28.0,5.0,58.0,10.0,34.0,2.0,123.0,1.0,1.0,3.0,21.0,-3.0,-2.0,-1.0,77.0,0.0,-193.0,-1.0,-2.0,0.0,9.0,1.0,0.0,3.5,0.0,3.5,0.0,-1.0,0.0,-2.0,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0
