,game_id,year,week,day,away_team,home_team,stadium,temperature,humidity,wind_speed,wind_direction,conditions,surface,over_or_under,visitor_point_spread,away_score,home_score,winner,score_diff,1QP_diff,2QP_diff,3QP_diff,4QP_diff,RFD_diff,PFD_diff,IFD_diff,RY_diff,RA_diff,PY_diff,PA_diff,PC_diff,SK_diff,INT_diff,FUM_diff,PU_diff,GPY_diff,PR_diff,PRY_diff,KR_diff,KRY_diff,IR_diff,IRY_diff,PEN_diff,TOP_diff,TD_diff,TDR_diff,TDP_diff,TDT_diff,FGM_diff,FGAT_diff,FGY_diff,RZA_diff,RZC_diff,BRY_diff,BPY_diff,SRP_diff,S1RP_diff,S2RP_diff,S3RP_diff,SPP_diff,S1PP_diff,S2PP_diff,S3PP_diff,LEA_diff,LEY_diff,LTA_diff,LTY_diff,LGA_diff,LGY_diff,MDA_diff,MDY_diff,RGA_diff,RGY_diff,RTA_diff,RTY_diff,REA_diff,REY_diff,R1A_diff,R1Y_diff,R2A_diff,R2Y_diff,R3A_diff,R3Y_diff,QBA_diff,QBY_diff,SLA_diff,SLY_diff,SMA_diff,SMY_diff,SRA_diff,SRY_diff,DLA_diff,DLY_diff,DMA_diff,DMY_diff,DRA_diff,DRY_diff,WR1A_diff,WR1Y_diff,WR3A_diff,WR3Y_diff,TEA_diff,TEY_diff,RBA_diff,RBY_diff,SGA_diff,SGY_diff,P1A_diff,P1Y_diff,P2A_diff,P2Y_diff,P3A_diff,P3Y_diff,SPC_diff,MPC_diff,LPC_diff,Q1RA_diff,Q1RY_diff,Q1PA_diff,Q1PY_diff,LCRA_diff,LCRY_diff,LCPA_diff,LCPY_diff,RZRA_diff,RZRY_diff,RZPA_diff,RZPY_diff,SKY_diff,LBS_diff,DBS_diff,SFPY_diff,DRV_diff,NPY_diff,TB_diff,I20_diff,RTD_diff,LNR_diff,LNP_diff,LBR_diff,LBP_diff,DBR_diff,DBP_diff,NHA_diff,S3A_diff,S3C_diff,L3A_diff,L3C_diff,STF_diff,DP_diff,FSP_diff,OHP_diff,PBEP_diff,DLP_diff,DSP_diff,DMP_diff,PFN_diff
0,1,2000,1,SUN,SF,ATL,Georgia Dome,79.0,0.0,0.0,\N,Dome,AstroTurf,42.5,7.0,28,36,ATL,8,-1.0,9.0,7.0,-7.0,0.0,-3.0,2.0,3.0,8.0,17.0,-5.0,-7.0,-1.0,-1.0,1.0,-3.0,-101.0,1.0,21.0,0.0,60.0,1.0,36.0,9.0,4.0,-1.0,-1.0,-1.0,1.0,5.0,5.0,203.0,0.0,0.0,-3.0,110.0,1.0,1.0,1.0,-1.0,-6.0,-2.0,-7.0,3.0,1.0,17.0,6.0,35.0,0.0,0.0,0.0,-64.0,0.0,0.0,0.0,7.0,1.0,6.0,5.0,1.0,2.0,18.0,1.0,-18.0,2.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,89.0,0.0,-25.0,-2.0,-11.0,-2.0,-38.0,-2.0,4.0,-4.0,27.0,-2.0,-35.0,0.0,25.0,-1.0,-9.0,3.0,0.0,1.0,1.0,-11.0,5.0,11.0,1.0,11.0,-3.0,-6.0,-5.0,-37.0,-6.0,-1.0,0.0,98.0,0.0,-100.0,1.0,0.0,0.0,-0.5,1.0,4.5,-3.0,2.0,-4.0,0.0,1.0,0.0,6.0,3.0,7.0,7.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,-1.0
1,2,2000,1,SUN,JAC,CLE,Cleveland Browns Stadium,78.0,63.0,9.0,NE,Sunny,Grass,38.0,-10.0,27,7,JAC,-20,0.0,-3.0,-10.0,-7.0,-7.0,-12.0,0.0,-23.0,-24.0,-126.0,-7.0,-5.0,-3.0,0.0,1.0,2.0,137.0,-3.0,-17.0,4.0,65.0,0.0,0.0,20.0,-14.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,-75.0,0.0,0.0,18.0,-50.0,-10.0,-2.0,-7.0,-1.0,-12.0,-5.0,-2.0,-5.0,-5.0,15.0,-7.0,-39.0,-2.0,7.0,-3.0,24.0,-4.0,-15.0,0.0,-3.0,-3.0,-12.0,-14.0,-13.0,-10.0,-34.0,0.0,24.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-55.0,2.0,0.0,-5.0,-73.0,5.0,-13.0,-10.0,-77.0,-3.0,-73.0,-3.0,-22.0,-4.0,-31.0,7.0,-9.0,-3.0,-5.0,-19.0,-4.0,-54.0,0.0,0.0,0.0,0.0,-9.0,-18.0,-5.0,1.0,-15.0,-1.0,0.0,9.0,0.0,140.0,-1.0,2.0,0.0,-8.5,1.0,-5.5,-1.0,-3.0,-5.0,0.0,1.0,0.0,-5.0,-3.0,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2,3,2000,1,SUN,PHI,DAL,Texas Stadium,109.0,19.0,5.0,S,Sunny,AstroTurf,40.0,6.0,41,14,PHI,-27,-14.0,-4.0,-3.0,-6.0,-15.0,-3.0,1.0,-239.0,-33.0,-19.0,2.0,-3.0,4.0,-1.0,0.0,5.0,224.0,-3.0,-18.0,4.0,89.0,1.0,3.0,68.0,-19.0,-4.0,-3.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-112.0,18.0,-24.0,-10.0,-10.0,-4.0,-4.0,-2.0,-3.0,1.0,-3.0,-46.0,-4.0,-39.0,0.0,0.0,-13.0,-103.0,-4.0,-15.0,-6.0,-8.0,-3.0,-8.0,-15.0,-114.0,-13.0,-70.0,-5.0,-35.0,-4.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,92.0,-3.0,-18.0,-1.0,-16.0,-4.0,-53.0,0.0,0.0,0.0,-15.0,0.0,-32.0,6.0,28.0,-1.0,-3.0,1.0,-9.0,-11.0,-3.0,-86.0,0.0,0.0,0.0,0.0,-7.0,-37.0,0.0,12.0,24.0,0.5,0.0,-65.0,0.0,226.0,-1.0,0.0,0.0,-8.0,-0.5,-13.5,-1.0,-7.5,-1.5,0.0,-2.0,-2.0,5.0,1.0,-4.0,-7.0,0.0,2.0,4.0,-2.0,0.0,3.0,0.0
3,4,2000,1,SUN,NYJ,GB,Lambeau Field,77.0,66.0,5.0,E,Mostly Cloudy,Grass,36.0,2.5,20,16,NYJ,-4,0.0,0.0,3.0,-7.0,-8.0,-3.0,0.0,-56.0,-18.0,-112.0,-10.0,-9.0,1.0,0.0,1.0,1.0,0.0,0.0,43.0,0.0,24.0,0.0,29.0,6.0,-16.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,67.0,0.0,0.0,-46.0,-47.0,-5.0,2.0,-2.0,-5.0,-9.0,-6.0,0.0,-3.0,-4.0,-16.0,-1.0,6.0,0.0,6.0,-6.0,-29.0,-3.0,-8.0,0.0,0.0,-4.0,-14.0,1.0,14.0,-14.0,-26.0,-5.0,-43.0,-1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-67.0,1.0,0.0,7.0,19.0,-9.0,-60.0,-1.0,-1.0,-9.0,-128.0,4.0,49.0,-4.0,-32.0,-2.0,-3.0,-4.0,-9.0,-41.0,-1.0,-11.0,-4.0,10.0,9.0,-16.0,-6.0,-9.0,-5.0,-5.0,3.0,0.0,0.0,115.0,0.0,63.0,-1.0,1.0,0.0,-6.0,-1.0,-3.0,0.0,-8.0,-8.0,0.0,-2.0,-2.0,-3.0,-5.0,-12.0,0.0,1.0,2.0,-4.0,-1.0,2.0,1.0,-1.0
4,9,2000,1,SUN,DET,NO,Louisiana Superdome,89.0,86.0,0.0,\N,Dome,AstroTurf,39.5,1.0,14,10,DET,-4,7.0,-6.0,-8.0,3.0,-1.0,3.0,1.0,8.0,-7.0,57.0,9.0,5.0,3.0,0.0,1.0,0.0,43.0,2.0,-83.0,1.0,55.0,0.0,31.0,15.0,-2.0,0.0,0.0,0.0,1.0,-1.0,0.0,-6.0,0.0,0.0,23.0,0.0,-5.0,-6.0,0.0,1.0,4.0,1.0,1.0,2.0,-1.0,-22.0,4.0,49.0,-4.0,-15.0,1.0,20.0,-4.0,-15.0,3.0,17.0,-6.0,7.0,-4.0,-32.0,0.0,33.0,-3.0,40.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,36.0,12.0,33.0,-7.0,-11.0,4.0,11.0,28.0,133.0,5.0,24.0,2.0,-25.0,5.0,58.0,0.0,3.0,2.0,-6.0,7.0,-5.0,-6.0,-4.0,30.0,8.0,41.0,-7.0,4.0,-5.0,-24.0,12.0,1.0,-0.5,-73.0,0.0,-80.0,2.0,0.0,0.0,-5.5,0.0,1.0,-0.5,-2.5,3.5,0.0,1.0,2.0,2.0,0.0,-7.0,7.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
5,13,2000,1,SUN,CAR,WAS,FedExField,80.0,98.0,0.0,CALM,Mostly Cloudy,Grass,47.5,10.0,17,20,WAS,3,-3.0,0.0,3.0,3.0,6.0,7.0,-2.0,50.0,11.0,110.0,10.0,8.0,-6.0,0.0,-1.0,-1.0,-53.0,3.0,15.0,-2.0,-136.0,0.0,0.0,-1.0,6.0,0.0,2.0,-1.0,0.0,1.0,0.0,16.0,0.0,0.0,36.0,-50.0,13.0,9.0,5.0,-1.0,8.0,2.0,3.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,8.0,75.0,0.0,0.0,0.0,0.0,-1.0,-33.0,10.0,87.0,4.0,22.0,-3.0,-58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-17.0,2.0,22.0,-4.0,-23.0,10.0,69.0,9.0,35.0,2.0,27.0,-2.0,50.0,4.0,33.0,1.0,8.0,-1.0,4.0,-18.0,9.0,56.0,12.0,83.0,2.0,41.0,9.0,31.0,1.0,2.0,-59.0,-2.0,0.0,115.0,2.0,-38.0,0.0,-1.0,0.0,1.0,2.0,2.0,9.5,4.0,-4.5,0.0,1.0,1.0,-3.0,1.0,0.0,0.0,-5.0,2.0,0.0,1.0,0.0,-1.0,1.0
6,14,2000,1,SN,TEN,BUF,Ralph Wilson Stadium,73.0,78.0,10.0,S,Mostly Cloudy,AstroTurf,40.5,-1.0,13,16,BUF,3,0.0,1.0,3.0,-1.0,4.0,3.0,1.0,76.0,15.0,18.0,-3.0,-4.0,1.0,-1.0,0.0,0.0,30.0,-1.0,-50.0,-2.0,-147.0,1.0,8.0,-21.0,6.0,0.0,-1.0,1.0,0.0,1.0,1.0,51.0,0.0,0.0,36.0,57.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,5.0,-1.0,0.0,10.0,36.0,1.0,-4.0,0.0,10.0,2.0,20.0,5.0,22.0,7.0,18.0,3.0,36.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,65.0,1.0,18.0,-9.0,-54.0,-6.0,-7.0,11.0,62.0,2.0,-6.0,-2.0,48.0,-2.0,-24.0,-4.0,-1.0,1.0,5.0,24.0,0.0,-22.0,-1.0,-16.0,4.0,30.0,-1.0,-6.0,-4.0,16.0,4.0,1.0,0.0,-111.0,0.0,-21.0,0.0,0.0,0.0,7.0,-1.5,1.0,-2.5,7.0,-1.0,0.0,-2.0,0.0,4.0,0.0,4.0,0.0,-1.0,2.0,0.0,-6.0,-1.0,-1.0,1.0
7,15,2000,1,MN,DEN,STL,Trans World Dome,77.5,75.0,0.0,\N,Dome,AstroTurf,49.5,6.5,36,41,STL,5,0.0,4.0,4.0,-3.0,-2.0,4.0,-4.0,-70.0,-10.0,159.0,6.0,6.0,-2.0,3.0,0.0,-1.0,-55.0,1.0,86.0,3.0,47.0,-3.0,-33.0,29.0,-4.0,2.0,1.0,1.0,-1.0,-3.0,-3.0,-106.0,0.0,0.0,-21.0,123.0,-8.0,-1.0,-5.0,-2.0,5.0,-2.0,4.0,3.0,1.0,-35.0,-1.0,-6.0,-1.0,-11.0,1.0,18.0,-8.0,-32.0,-1.0,-8.0,0.0,0.0,-2.0,8.0,-4.0,-52.0,-3.0,-30.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-40.0,10.0,136.0,-4.0,-69.0,4.0,75.0,2.0,19.0,0.0,-74.0,5.0,137.0,-1.0,64.0,3.0,3.0,0.0,-7.0,-37.0,2.0,-41.0,3.0,-9.0,6.0,89.0,0.0,-3.0,-1.0,7.0,-25.0,-1.0,0.0,71.0,0.0,31.0,0.0,-1.0,1.0,-3.5,0.0,-6.0,0.0,-0.5,5.0,0.0,0.0,1.0,-2.0,1.0,4.0,-6.0,0.0,-2.0,-3.0,1.0,2.0,2.0,0.0
8,16,2000,2,SUN,JAC,BAL,PSINet Stadium,82.0,72.0,5.0,SE,Mostly Sunny,Grass,36.0,3.0,36,39,BAL,3,-17.0,1.0,12.0,7.0,1.0,-4.0,-2.0,43.0,-3.0,-133.0,-11.0,-5.0,-1.0,0.0,-2.0,4.0,173.0,-5.0,-25.0,4.0,55.0,0.0,-5.0,5.0,-3.0,2.0,0.0,2.0,0.0,-4.0,-4.0,-167.0,0.0,0.0,33.0,-95.0,1.0,-1.0,1.0,1.0,-3.0,2.0,-2.0,-3.0,-2.0,6.0,0.0,2.0,0.0,13.0,-2.0,24.0,-1.0,2.0,2.0,0.0,0.0,0.0,-8.0,-7.0,3.0,30.0,2.0,24.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,-238.0,-3.0,18.0,4.0,38.0,12.0,58.0,-19.0,-76.0,-1.0,-11.0,-7.0,-49.0,-4.0,-73.0,-2.0,-1.0,-2.0,-3.0,0.0,-3.0,-118.0,0.0,-11.0,-2.0,-25.0,1.0,3.0,4.0,31.0,9.0,-2.0,-1.0,92.0,0.0,169.0,-1.0,3.0,0.0,6.0,0.0,-2.5,2.0,-3.5,-9.0,0.0,2.0,0.0,-4.0,-3.0,-6.0,0.0,-3.0,0.0,1.0,-1.0,1.0,0.0,0.0
9,18,2000,2,SUN,CLE,CIN,Paul Brown Stadium,74.0,93.0,5.0,S,Chance Rain,Grass,41.0,6.0,24,7,CLE,-17,-7.0,0.0,-3.0,-7.0,1.0,-1.0,0.0,3.0,-11.0,-42.0,12.0,-4.0,6.0,1.0,1.0,-1.0,-94.0,5.0,30.0,3.0,82.0,-1.0,-2.0,5.0,-8.0,-2.0,-1.0,-1.0,0.0,-1.0,0.0,-30.0,0.0,0.0,2.0,95.0,2.0,-2.0,0.0,4.0,-2.0,-1.0,0.0,-1.0,-3.0,8.0,-2.0,-1.0,-1.0,-1.0,-2.0,14.0,2.0,1.0,-6.0,-21.0,1.0,1.0,-6.0,-35.0,-5.0,5.0,0.0,31.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-73.0,6.0,8.0,4.0,-1.0,5.0,72.0,9.0,49.0,7.0,-77.0,8.0,48.0,3.0,2.0,-1.0,-4.0,1.0,-3.0,-29.0,3.0,10.0,0.0,0.0,0.0,0.0,-9.0,-25.0,-1.0,-35.0,33.0,1.0,0.0,-83.0,-1.0,-64.0,0.0,-2.0,0.0,-6.0,-0.5,-6.0,0.0,0.0,-3.5,0.0,0.0,1.0,1.0,1.0,-5.0,0.0,1.0,-2.0,-1.0,2.0,0.0,0.0,1.0
